word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
more,ADV,,Greater in amount or degree,13,,,,,,
most,ADV,,Highest degree,13,,,,,,
only,ADJ,,Sole or exclusive,13,,,,,,
other,NOUN,,Additional or different,13,,,,,,
pursuit,NOUN,Technical Term,Seeking a goal or objective.,13,,,,,,
right,NOUN,Technical Term,A fundamental entitlement or principle.,13,,,,,,
self-evident,ADJ,Technical Term,Clearly understood without proof.,13,,,,,,
text,NOUN,Technical Term,Written or printed communication.,13,,,,,,
truth,NOUN,Organizational Name,The quality or state of being true.,13,,,,,,
unalienable,ADJ,Technical Term,Incapable of being taken away or relinquished.,13,,,,,,
certain,ADJ,,"Specific, defined",14,,,,,,
create,VERB,,To bring something into existence,14,,,,,,
creator,NOUN,Individual Name,A person who makes or brings something into existence,14,,,,,,
endow,VERB,,To grant or provide with something,14,,,,,,
equal,ADJ,,"Having the same value, status or amount",14,,,,,,
equality,NOUN,Technical Term,The state of being equal,14,,,,,,
following,NOUN,,Subsequent items or events,14,,,,,,
happiness,NOUN,ORG,State of well-being and contentment,14,,,,,,
hold,VERB,,To possess or have something,14,,,,,,
liberty,NOUN,technical term,Fundamental freedom,14,,,,,,
life,NOUN,technical term,State of being alive,14,,,,,,
man,NOUN,individual name,Human being,14,,,,,,
pursuit,NOUN,technical term,Goal-oriented activity,14,,,,,,
right,NOUN,technical term,Moral or legal entitlement,14,,,,,,
text,NOUN,technical term,Written or printed communication,14,,,,,,
truth,NOUN,technical term,Fact or reality,14,,,,,,
unalienable,,technical term,Inherent and unable to be taken away,14,,,,,,
list,VERB,,,14,,,,,,
self-evident,ADJ,,,14,,,,,,
accord,VERB,,Agreement or conformity,15,,,,,,
certain,ADJ,,Specific or definite,15,,,,,,
come,VERB,,Arrive or occur,15,,,,,,
create,VERB,,Bring something into existence,15,,,,,,
creator,NOUN,ORGANIZATION NAME,Someone or something that makes or brings something into existence,15,,,,,,
endow,VERB,,Equip or provide with something,15,,,,,,
equal,ADJ,,"Having the same value, rights, or status",15,,,,,,
government,NOUN,ORGANIZATION NAME,System of rule and administration,15,,,,,,
happiness,NOUN,ORGANIZATION NAME,State of well-being and contentment,15,,,,,,
hold,VERB,,Possession or maintenance,15,,,,,,
man,NOUN,Individual Name,A human being,15,,,,,,
people,NOUN,Organization Name,A group of humans,15,,,,,,
pursuit,NOUN,,Active endeavor or search for something,15,,,,,,
right,NOUN,Technical Term,Moral principle or claim,15,,,,,,
self-evident,ADJ,,Immediately understandable without proof,15,,,,,,
text,NOUN,,Written or printed work,15,,,,,,
the Declaration of Independence,DET,WORK_OF_ART,A historical document,15,,,,,,
truth,NOUN,Technical Term,Fact or reality,15,,,,,,
unalienable,ADJ,,Inherent and impossible to take away,15,,,,,,
Fundamental,ADJ,Technical Term,Fundamental rights are considered essential and basic,16,,,,,,
Human,ADJ,Individual Name,Relating to humans,16,,,,,,
Natural,ADJ,Technical Term,Rights inherent by virtue of being human,16,,,,,,
Revolution,NOUN,Technical Term,A fundamental and violent change in political or social order,16,,,,,,
Rights,NOUN,Technical Term,Moral or legal entitlements,16,,,,,,
Social Contract,NOUN,Organization Name,An agreement between people and their government,16,,,,,,
concept,NOUN,Technical Term,An abstract idea or notion,16,,,,,,
base,VERB,,,16,,,,,,
below,ADV,,,16,,,,,,
choose,VERB,,,16,,,,,,
consent,NOUN,technical term,Agreement for governance,16,,,,,,
derive,VERB,technical term,To obtain power from a source,16,,,,,,
give,VERB,technical term,To transfer authority or power,16,,,,,,
govern,VERB,technical term,To exercise control and rule,16,,,,,,
government,NOUN,organization name,System of authority and leadership,16,,,,,,
institute,VERB,technical term,To establish or create a system of governance,16,,,,,,
just,ADJ,technical term,Based on fairness and ethical principles,16,,,,,,
men,NOUN,individual name,Refers to human beings collectively,16,,,,,,
option,NOUN,technical term,A choice or alternative available within a system,16,,,,,,
power,NOUN,technical term,Ability to influence or control,16,,,,,,
represent,VERB,technical term,To depict or symbolize a concept,16,,,,,,
right,NOUN,technical term,Fundamental principle or entitlement,16,,,,,,
secure,VERB,technical term,To establish and protect,16,,,,,,
sentence,NOUN,technical term,A complete expression conveying meaning,16,,,,,,
text,NOUN,technical term,Written or printed communication,16,,,,,,
Fundamental,PROPN,Individual Name/Technical Term,Core Principles,17,,,,,,
Human,PROPN,Individual Name,The species,17,,,,,,
Revolution,PROPN,Technical Term,Overthrow/Upheaval,17,,,,,,
Rights,PROPN,Individual Name/Technical Term,Individual Liberties,17,,,,,,
Social Contract,PROPN,Organization Name,Agreement between governed and government,17,,,,,,
concept,NOUN,Technical Term,Idea,17,,,,,,
consent,NOUN,Technical Term,Agreement,17,,,,,,
analyze,VERB,,,17,,,,,,
below,ADV,,,17,,,,,,
Natural,ADJ,Technical Term,"Philosophical concept, inherent rights",17,,,,,,
derive,VERB,technical term,to obtain something from a source,17,,,,,,
embody,VERB,technical term,to represent or encapsulate an idea or concept,17,,,,,,
give,VERB,organization name,to grant or bestow something,17,,,,,,
govern,VERB,technical term,"to rule or control a territory, institution, or group",17,,,,,,
government,NOUN,organization name,a system of ruling and controlling a society or state ,17,,,,,,
identify,VERB,technical term,"to recognize, establish, or determine something",17,,,,,,
institute,VERB,organizational name,to establish or set up an organization or policy,17,,,,,,
just,ADJ,technical term,"fair, equitable, righteous",17,,,,,,
men,NOUN,individual name,"human beings, people",17,,,,,,
option,NOUN,technical term,a choice or possibility among several alternatives,17,,,,,,
political,ADJ,technical term, relating to government or states,17,,,,,,
power,NOUN,technical term,the ability to influence or control others,17,,,,,,
right,"NOUN, ADJ",technical term,a justified claim or entitlement,17,,,,,,
secure,VERB,,to make safe or protect,17,,,,,,
text,NOUN,technical term,written or printed matter,17,,,,,,
theory,NOUN,technical term,a set of ideas intended to explain something,17,,,,,,
accord,VERB,,"Consent, Agreement",18,,,,,,
build,VERB,,"Create, Construct",18,,,,,,
certain,ADJ,,"Specific, Particular",18,,,,,,
collect,VERB,,"Gather, Assemble",18,,,,,,
consent,NOUN,,"Agreement, Permission",18,,,,,,
derive,VERB,,"Obtain, Extract",18,,,,,,
govern,VERB,,"Rule, Lead",18,,,,,,
government,NOUN,Organization Name,Political Authority,18,,,,,,
happy,ADJ,,"Content, Joyful",18,,,,,,
institute,VERB,,"Establish, Found",18,,,,,,
just,ADJ,technical term,"fairness, equity",18,,,,,,
make,VERB,,"create, produce",18,,,,,,
men,NOUN,individual name,human beings,18,,,,,,
people,NOUN,organization name,"society, populace",18,,,,,,
power,NOUN,technical term,"authority, influence",18,,,,,,
purpose,NOUN,technical term,"goal, objective",18,,,,,,
right,NOUN,technical term,"freedom, entitlement",18,,,,,,
road,NOUN,technical term,"infrastructure, transportation",18,,,,,,
secure,VERB,,"protect, guarantee",18,,,,,,
taxis,NOUN,organization name,transportation service,18,,,,,,
text,NOUN,organization name,Written communication,18,,,,,,
consent,NOUN,technical term,Agreement to a decision or plan,19,,,,,,
derive,VERB,technical term,To obtain something from a source; to get something through effort,19,,,,,,
govern,VERB,technical term,To exercise authority or control over,19,,,,,,
government,NOUN,organization name,A system of rule by the people or a designated authority,19,,,,,,
institute,VERB,technical term,To establish or set up something formal,19,,,,,,
just,ADJ,technical term,Fair and righteous,19,,,,,,
king,NOUN,individual name,The ruler of a kingdom,19,,,,,,
law,NOUN,technical term,A system of rules established by authority to govern behavior,19,,,,,,
men,NOUN,individual name,The male population of a society,19,,,,,,
get,VERB,Technical Term,Acquiring power or authority,19,,,,,,
military,NOUN,organization name,Armed forces,19,,,,,,
power,NOUN,technical term,Control or authority,19,,,,,,
right,NOUN,higher-level concept,Fundamental principle or entitlement,19,,,,,,
text,NOUN,higher-level concept,Written or spoken communication,19,,,,,,
secure,VERB,,,19,,,,,,
state,VERB,,,19,,,,,,
animal,NOUN,technical term,Species,20,,,,,,
company,NOUN,organization name,Business Entity,20,,,,,,
consent,NOUN,concept,Agreement,20,,,,,,
derive,VERB,technical term,Obtain,20,,,,,,
govern,VERB,concept,Rule,20,,,,,,
government,NOUN,organization name,Authority,20,,,,,,
institute,VERB,concept,Establish,20,,,,,,
just,ADJ,concept,Fair,20,,,,,,
man,NOUN,individual name,Adult Male,20,,,,,,
men,NOUN,individual name,Group of Adult Males,20,,,,,,
power,NOUN,technical term,Authority,20,,,,,,
right,NOUN,organization name,"Institution, legal framework",20,,,,,,
say,VERB,technical term,Communication,20,,,,,,
school,NOUN,organization name,Educational institution,20,,,,,,
secure,VERB,technical term,"Guarantee, protect",20,,,,,,
text,NOUN,technical term,Written communication,20,,,,,,
Fundamental,ADJ,Technical Term,Essential Principles,21,,,,,,
Government,NOUN,Organization Name,Political System,21,,,,,,
Happiness,NOUN,Technical Term,Well-being,21,,,,,,
Human,ADJ,Individual Name,Relating to People,21,,,,,,
Natural,ADJ,Technical Term,"Inherent, Unadorned",21,,,,,,
People,NOUN,Organization Name,Mass of Individuals,21,,,,,,
Revolution,NOUN,Technical Term,"Overthrow, Change",21,,,,,,
Rights,NOUN,Technical Term,"Freedoms, Allowances",21,,,,,,
Social Contract,NOUN,Organization Name,"Agreement, Pact",21,,,,,,
abolish,VERB,Action,"To End, Cancel",21,,,,,,
alter,VERB,technical term,Change or modify a political system,21,,,,,,
base,VERB,technical term,Found or establish the basis of something,21,,,,,,
become,VERB,organization name,Transform into a specific form or state,21,,,,,,
below,ADV,technical term,To be located lower in position or hierarchy,21,,,,,,
choose,VERB,individual name,Select a particular option from others,21,,,,,,
concept,NOUN,technical term,An abstract idea or notion,21,,,,,,
destructive,ADJ,organization name,Causing harm or damage,21,,,,,,
effect,VERB,technical term,To bring something about; to achieve a desired result,21,,,,,,
end,NOUN,individual name,"A purpose, goal, or final outcome",21,,,,,,
form,NOUN,technical term,"The shape, structure, or organization of something",21,,,,,,
foundation,NOUN,technical term,Basis or underlying principle,21,,,,,,
give,VERB,organization name,"To provide, bestow, or grant (power, authority)",21,,,,,,
institute,VERB,technical term,To establish or set up (an organization or system),21,,,,,,
lay,VERB,organization name,"To create, build, or form the basis of  (something)",21,,,,,,
likely,ADJ,technical term,"Probable, plausible, or expected",21,,,,,,
most,ADV,individual name,To the greatest extent or degree,21,,,,,,
new,ADJ,organization name,"Recent, innovative, or different from previous structures",21,,,,,,
option,NOUN,technical term,A choice or possibility available,21,,,,,,
organize,VERB,organization name,"To arrange, structure, or coordinate (people or resources)",21,,,,,,
power,NOUN,technical term,"The ability to influence, control, or command",21,,,,,,
principle,NOUN,technical term,Foundation or basis for a system or belief,21,,,,,,
represent,VERB,technical term,To stand in for or symbolize something else,21,,,,,,
right,NOUN,technical term,A fundamental power or entitlement,21,,,,,,
safety,NOUN,technical term,The state of being protected from harm or danger,21,,,,,,
seem,VERB,technical term,To appear or give the impression of something,21,,,,,,
sentence,NOUN,technical term,"A complete thought expressing judgment, command, or question",21,,,,,,
such,ADJ,technical term,Of the described kind; as specified,21,,,,,,
text,NOUN,technical term,Written or printed matter,21,,,,,,
Fundamental,ADJECTIVE,Technical Term,Underlying principles or concepts,22,,,,,,
Government,NOUN,Organization Name,A system of ruling a society,22,,,,,,
Happiness,NOUN,Technical Term,State of well-being and fulfillment,22,,,,,,
Human,ADJECTIVE,Individual Name,Relating to humankind,22,,,,,,
Natural,ADJECTIVE,Technical Term,Existing in or caused by nature,22,,,,,,
People,NOUN,Individual Name,The general population,22,,,,,,
Revolution,NOUN,Technical Term,A drastic change in political or social order,22,,,,,,
Rights,NOUN,Technical Term,Fundamental powers or privileges,22,,,,,,
Social Contract,NOUN,Technical Term,An agreement between individuals and the state establishing the rules of governance,22,,,,,,
abolish,VERB,,To formally put an end to something,22,,,,,,
alter,VERB,technical term,Changing a system,22,,,,,,
base,VERB,technical term,Making something foundational,22,,,,,,
become,VERB,technical term,To progress to a state,22,,,,,,
concept,NOUN,technical term,An abstract idea,22,,,,,,
destructive,ADJ,technical term,Causing harm or deterioration,22,,,,,,
effect,VERB,technical term,To bring something about,22,,,,,,
end,NOUN,technical term,The conclusion or objective,22,,,,,,
exemplify,VERB,technical term,To demonstrate through example,22,,,,,,
form,NOUN,technical term,A particular structure or shape,22,,,,,,
below,ADV,,,22,,,,,,
foundation,NOUN,technical term,Basis for a system or structure,22,,,,,,
give,VERB, ,"To provide, offer, or bestow something",22,,,,,,
identify,VERB, ,To recognize or establish the nature of someone or something,22,,,,,,
institute,VERB,technical term,"To set up, establish, or create an organization, system, or process",22,,,,,,
lay,VERB, ,To place or put something down in a specific position,22,,,,,,
likely,ADJ, ,"Probable, reasonable to expect",22,,,,,,
most,ADV, ,Greatest in amount or degree; to the highest extent,22,,,,,,
new,ADJ, ,"Recently made, created, or discovered; unfamiliar or unusual",22,,,,,,
option,NOUN,technical term,A choice or selection among possibilities,22,,,,,,
organize,VERB,technical term,To arrange things systematically; to structure or coordinate for a specific purpose,22,,,,,,
philosophy,NOUN,technical term,"Study of fundamental truths, especially about existence, knowledge, values, reason, mind, and language.",22,,,,,,
political,ADJ,technical term,"Relating to the state, government, or political activities.",22,,,,,,
power,NOUN,technical term,The ability to influence or control people or events.,22,,,,,,
principle,NOUN,technical term,"A fundamental truth, law, or proposition that serves as the foundation for a system of beliefs or conduct.",22,,,,,,
right,NOUN,technical term,Moral or legal entitlement to something or an act of behaving or acting properly.,22,,,,,,
safety,NOUN,technical term,"The condition of being protected from harm, danger or risk.",22,,,,,,
seem,VERB,technical term,appear to be,22,,,,,,
sentence,NOUN,technical term,unit of language conveying information,22,,,,,,
such,ADJ,organization name,similar to the previously mentioned type or example,22,,,,,,
text,NOUN,technical term,written or printed communication,22,,,,,,
Government,PROPN,Organization Name,Political System,23,,,,,,
Happiness,PROPN,Technical Term,State of Wellbeing,23,,,,,,
People,PROPN,Individual Name,Citizens,23,,,,,,
abolish,VERB,Technical Term,Remove / End,23,,,,,,
accord,VERB,Technical Term,Agree / Give,23,,,,,,
alter,VERB,Technical Term,Change,23,,,,,,
become,VERB,Technical Term,Transform,23,,,,,,
destructive,ADJ,Technical Term,Harmful / Causing Damage,23,,,,,,
effect,VERB,Technical Term,Cause / Produce,23,,,,,,
end,NOUN,Technical Term,Goal / Purpose,23,,,,,,
form,NOUN,organization name,A type or structure of government,23,,,,,,
foundation,NOUN,technical term,The basis or fundamental principle upon which something is established,23,,,,,,
government,NOUN,organization name,A system of rule and administration by a particular group of people,23,,,,,,
